src,tgr
如果你唱歌的話一定很棒。,It would be great if you could sing.
我們正在吃蘋果。,We're eating apples.
他还没回我的信。,He still hasn't answered my letter.
我肚子饿极了。,I am terribly hungry.
很久以前你就應該告訴我的。,You should have told me a long time ago.
我會立刻開始。,I'll get started right away.
这衬衫需要熨。,This shirt needs ironing.
他们全都来了。,They all have come.
这个工作没有酬劳。,This work doesn't pay.
這份工作錄取仍然有效。,The job offer still stands.
她無法回答這個問題。,She couldn't answer the question.
你喜不喜欢没关系。,Whether you like it or not doesn't matter.
你就是胆小鬼。,You're just a coward.
你能幫我們嗎？,Can you help us?
西蘭花是最健康的蔬菜之一。,Broccoli is one of the healthiest vegetables.
你覺得這個派對如何?,How did you like the party?
让我来弄。,Leave it to me.
狗向着我跑了过来。,The dog came running to me.
汤姆的女朋友是谁？,Who's Tom's girlfriend?
我們有許多目標。,We have many goals.
腳踏車雙載是危險的。,Riding double on a bicycle is dangerous.
他伸长了他的右手。,He extended his right arm.
我好累。,I'm so tired.
她想搬出去，找個屬於自己的地方。,She wants to move out and find a place of her own.
我见过汤姆光着。,I've seen Tom naked.
你認為湯姆要傷害我。,I thought Tom was going to hurt me.
汤姆想追随他父亲的脚步。,Tom wanted to follow in his father's footsteps.
湯姆需要瑪麗的幫助。,Tom needs Mary's help.
汤姆突然戒烟了。,Tom quit smoking cold turkey.
我想和汤姆单独谈一谈。,I'd like to talk to Tom alone.
他不因貧窮而感到羞愧。,He is not ashamed of being poor.
我听说你通过了入学考试。恭喜你了！,I hear you passed the entrance exam. Congratulations!
我們到了！,Here we are!
我需要胶水。,I need glue.
我想兌換旅行支票。,I'd like to cash a travelers' check.
我們就像兄弟一樣。,We're just like brothers.
我不知道该选谁。,I don't know who to choose.
法國是一個福利國家，但它卻不再能夠負擔得起了。,France is running a welfare state it can no longer afford.
请不要开枪！,Please don't shoot.
他表現得像國王一樣。,He acts as if he were a king.
誰在乎她何時結婚?,Who cares when she gets married?
我想我今晚會洗澡。,I think I'll take a bath tonight.
雨变小了。,The rain is letting up.
地图上的蓝线代表河流。,The blue lines on the map represent rivers.
我不认为她很在意。,I don't think she cares very much.
他們打電話給醫生因為這個孩子生病了。,They called in a doctor because the child was ill.
她很有可能会有所成就。,It's likely that she'll succeed.
这本课本很好。,This is a good textbook.
我會在電台前等你。,I'll wait for you in front of the radio station.
他說的話有一定的道理。,There is a certain amount of truth in what he's saying.
那个包是你的还是他的？,Is this bag yours or his?
我很感激汤姆所做的。,I'm grateful for what Tom did.
我新年的願望是學會吹奧卡利納塤。,My New Year's resolution is to learn how to play the ocarina.
請說話大聲一點。,Please speak in a louder voice.
这辆车在银行前面停下来了。,The car pulled up in front of the bank.
你們呢？,How about you?
直角是九十度。,A right angle has ninety degrees.
我父母那一代经历过战争。,My parents' generation went through the war.
我想要一點柳橙汁。,I want some orange juice.
我们去了林中散步。,We went for a walk in the forest.
我其實沒那麼說。,I actually didn't say that.
子承父业。,He substituted for his father.
太棒了！你一定會笑的。,It's great! You'll laugh for sure.
我爱你胜过其他任何一个人。,I love you more than anyone else.
湯姆今天需要留在家裡嗎？,Does Tom need to stay home today?
你能告诉我该怎么做吗？,Could you tell me what I have to do?
汤姆说他需要更多钱。,Tom said he needed more money.
對不起，我們不接受信用卡。,"Sorry, we don't accept credit cards."
我不能留下。,I can't stay.
我信任他。,I trust him.
这个月底前，我们必须交报告。,We have to turn in our reports by the end of this month.
一百年称为一个世纪。,One hundred years is called a century.
你要跟我們一起來嗎？,Are you coming along with us?
这一次不一样。,This time it's different.
你应该对邻居好点。,You should be good to your neighbors.
我会参加下次的会议。,I'll attend the next meeting.
搅一下汤。,Stir the soup.
我决定当个工程师。,I've decided to become an engineer.
鸡蛋在篮子里。,The eggs are in the basket.
她原谅了男孩的粗鲁。,She forgave the boy for his rudeness.
汤姆现在会以我为傲。,Tom will now be proud of me.
我要去廁所。,I have to go to the bathroom.
有什么事我可以做吗？,Is there anything I can do?
我怀疑汤姆也感到兴趣。,I suspected that Tom was interested.
能够出一份力太好了。,I'm glad I was able to help.
乌云是下雨的征兆。,Dark clouds are a sign of rain.
我今天可以使用你的汽车吗?,May I use your car today?
請你幫我一個忙好嗎？,Could you do me a favor?
我拿到了他還給我的錢。,I got the money back from him.
你看起来不高兴。,You don't seem happy.
讓我們開始吧。,Let's start!
顯然地他撒了謊。,It's obvious that he lied.
让我知道我是否需要改变。,Let me know if I need to change.
“电话响了。”“我来接。”,"""The phone is ringing."" ""I'll get it."""
請關燈。,"Turn off the light, please."
一片寂静无声。,There was complete silence.
你想不想要這工作？,Do you want this job or not?
我剛剛切到手指了。,I just cut my finger.
汤姆还不清楚要不要上大学。,Tom is still uncertain about whether to go to college or not.
他們有工作。,They have jobs.
你最有趣的朋友是誰？,Who are your most interesting friends?
这是什么歌？我以前听过，但是我想不起歌名了。,"What's this song? I've heard it before, but I can't remember the name."
不是每一个孩子都喜欢吃苹果。,Not every child likes apples.
我不喜欢冬天。,I don't like winter.
他們祝賀我們的勝利。,They congratulated us on our victory.
我想要的就是这个。,It's exactly what I wanted.
那是一隻野雞。,That's a pheasant.
如果你有一万美元，你想做什么呢？,What would you do if you had ten thousand dollars?
瑪麗給我看了這封信。,Mary showed the letter to me.
有人抓住了我的手臂。,Somebody caught me by the arm.
Tom沒有錢。,Tom has no money.
我們在外面可以有一張桌子嗎？,Could we have a table outside?
你讓窗戶開著嗎?,Did you leave the window open?
波士顿现在几点？,What time is it in Boston?
湯姆還沒有失去信心。,Tom hasn't lost his confidence.
她很喜欢动物。,She is fond of animals.
湯姆在小时候有點超重。,Tom was a little overweight when he was a child.
所有的家具都佈滿了灰塵。,All the furniture was covered with dust.
這應該很有意思。,This should be a lot of fun.
耐心等着。,Sit tight.
他还没回我的信。,He still hasn't responded to my letter.
你该理发了。,You should get your hair cut.
他讨厌打扫自己的房间。,He hates cleaning his room.
我在找我的鋼筆。,I'm looking for my pen.
汤姆今年三十岁。,Tom is thirty years old.
我的腳踏車輪胎沒氣了。,My bicycle has a flat tire.
她成為我的一位真正的朋友。,She became a true friend of mine.
觸犯法律的人受到懲罰。,People who break the law are punished.
她完成了她的工作嗎？,Has she finished her work yet?
我能借你的车吗？,Can I borrow your car?
我把我借来的刀还了。,I returned the knife which I had borrowed.
"你已經辛苦地工作好幾個月了, 當然可以休假。",You've worked hard for months and have certainly earned a holiday.
你真是个努力的工人。,You're really a hard worker.
你怕狗吗？,Are you afraid of dogs?
如果有人看見我們怎麼辦？,What if someone sees us?
讓我們留給他作決定。,Let's leave the decision to Tom.
这是你的狗。,This is your dog.
你是日本人嗎？,Are you Japanese?
他本應該更小心的。,He should have been more careful.
1000日元够不够？,Is one thousand yen enough?
暴風雨造成了很大的損害。,The storm caused a lot of damage.
之前你在哪里？,Where were you?
你怎麼唸你的名字？,How do you pronounce your name?
這些蘋果的其中一半都爛了。,Half of these apples are rotten.
我们上周去了海滩。,We went to the beach last week.
我写了这本书。,I wrote this book.
他着凉了。,He has a cold.
誰負責今天的派對？,Who was in charge of today's party?
妈妈煮了十只蛋。,My mother boiled ten eggs.
我没有猫。,I don't have a cat.
她很晚回家。,She came home very late.
我感覚我的頭要炸了。,I feel like my head is going to explode.
