src,trg
汇率是多少？,What is the exchange rate?
他失去了平衡，从自行车上摔了下来。,He lost his balance and fell off his bicycle.
你的姓怎麼拼？,How do you spell your last name?
这是你第一次看这部电影吗?,Is this the first time that you've seen this movie?
您可以走了。,You may go.
水在攝氏零度時結冰。,Water freezes at zero degrees Celsius.
你不能和我們一起來真可惜。,It's a pity that you can't join us.
她在上廁所。,She's in the restroom.
你最近去哪裡旅遊了嗎？,Have you traveled anywhere recently?
我要的是茶，而他却给了我一杯咖啡。,"He brought me coffee, when I had asked for tea."
我嬸嬸做了一條新裙子給我。,My aunt made a new skirt for me.
價格取決於供給和需求。,Prices depend on supply and demand.
汤姆正在为成为海洋生物学家学习。,Tom is studying to become a marine biologist.
浪拍在岩石上。,The waves crashed against the rocks.
為了握住他的手，她往前跨了一步。,She stepped forward to shake his hand.
什麼都別問我。,Don't ask me anything.
以后打算干什么？,What would you like to do in the future?
我觉得这本书很有意思。,I found the book interesting.
她18岁的时候来到东京。,She came to Tokyo at the age of 18.
這些女孩當中其中一個被留下來了。,One of the girls was left behind.
我认为考试破坏教育。,I think exams ruin education.
那個牧場有十英畝大。,That pasture is ten acres.
我经常喝茶。,I often drink tea.
明天他會回來。,He will be back tomorrow.
你最好親自去。,You'd better go in person.
他是我的哥哥。,He's my older brother.
他總是在抱怨。,He complains all the time.
我爸爸现在非常专注于股市。,My father is very much involved in the stock market now.
你看了昨天的月蝕了嗎？,Did you see the eclipse yesterday?
我想看看它。,I would like to see it.
讓我們很快地再次見面。,Let's meet again soon.
他想成为科学家。,He wants to be a scientist in the future.
湯姆打網球嗎？,Does Tom play tennis?
發生了什麼好事嗎？,Has something good happened?
他把天花板刷成了蓝色。,He painted the ceiling blue.
他不可能成功。,He is not likely to succeed.
數學對我來說很難。,Mathematics is difficult for me.
那棟房子很大。,That house is big.
我今年夏天要去美國。,I'm going to America this summer.
我想這要看天氣情況而定。,I guess it depends on the weather.
這是糟糕的一天。,It was a terrible day.
我們的火車在八點半出發。,Our train leaves at eight-thirty.
這個傳聞後來被證明是真的了。,The rumor turned out to be true.
我有东西想给你看看。,I've got something I want to show you.
她会尽全力及时赶到这儿的。,She will do her best to be here on time.
他认识很多人。,He knows many people.
我等了他一整天。,I waited for him all day long.
她就是所谓的书虫。,She is what we call a bookworm.
我几乎不回家。,I'm almost never home.
我還沒有收集到足夠的材料來寫一本書。,I haven't yet collected sufficient materials to write a book.
汤姆应该等到星期一。,Tom should wait until Monday.
湯姆是我所知道的最高的人。,Tom is the tallest man I know.
撒哈拉沙漠广袤无垠。,The Sahara is a vast desert.
我在膝蓋上跟嬰兒玩。,I played with the baby on my knee.
我會盡力滿足你的願望。,I'll try to meet your wishes.
湯姆的年紀不比你大。,Tom is not as old as you.
他在车祸中受了重伤。,He was seriously injured in the car accident.
“你在哪里？” “我在一个朋友家。”,"""Where were you?"" ""I was at a friend's house."""
我的公事包裡裝滿了文件。,My briefcase is full of papers.
她遞給了他鑰匙。,She handed him the key.
Tom有兩個孩子。,Tom has two children.
蛋糕很美味。,The cake is delicious.
雄辯如銀，沉默如金。,"Speech is silver, but silence is golden."
坚持。,Hang on!
高空彈跳是恐怖還是好玩？,Is bungee jumping frightening or fun?
自我怀疑是聪明的第一标志。,To have doubts about oneself is the first sign of intelligence.
雪消失了。,The snow has disappeared.
这个工作需要不低于300美金。,No less than three hundred dollars was needed for the work.
这把椅子很轻。,This chair is light.
除了钢琴以外，还会玩什么乐器吗？,"Besides the piano, can you play any other instruments?"
涂点防晒吧。,Put on some sunscreen.
汤姆对玛丽撒了谎。,Tom lied to Mary.
他们都是一样的吗？,Are they all the same?
我們的新家有一臺電梯。,Our new home has an elevator.
我以为我们发现了绝妙的藏身之处，但警察找到了我们。,"I thought we had found the perfect hiding place, but the police found us."
他这个时候该到了。,This is the time he normally arrives.
它發出巨響爆炸了。,It exploded with a loud noise.
扔掉,Throw it away.
那是值得自豪的事。,That's something to be proud of.
不是我的错。,It's not my fault.
我不懂。,I don't get it.
她說她以前很快樂。,She said that she had been happy.
我的孩子是雙胞胎。,My children are twins.
他喜歡聽收音機。,He likes listening to the radio.
她善於處理兒童。,She's good at handling children.
你說的話沒有道理。,What you're saying makes no sense.
對不起，我太無理了。,I'm sorry I was so rude.
我们想知道真相。,We want to know the facts.
为将来做准备吧。,Prepare yourself for the future.
这天会到来。,That day shall come.
硫磺燃燒著藍色的火焰。,Sulfur burns with a blue flame.
他問我為什麼在笑。,He asked me why I was laughing.
汤姆小心地接近。,Tom approached cautiously.
汤姆今年三十岁。,Tom is thirty years old.
我生病了。,I'm sick.
我不懂他的玩笑話。,I didn't get his joke.
你想知道我是怎么做到的吗？,Would you like to know how I did that?
去年冬天很暖和。,We had a mild winter last year.
我們必須先完成我們的功課。,We must finish our homework first.
她曾是班上唱歌絕對的第一名。,She was by far the best singer in the class.
平行四边形的对边平行。,The opposite sides of a parallelogram are parallel.
我認為你應該跟她道歉。,I think that you ought to apologize to her.
你下个周末有什么安排？,What have you got planned for next weekend?
我期待著再次見到你。,I look forward to seeing you again.
我不喜欢科学。,I don't like science.
這本小說很無聊。,This novel is boring.
我太太剛剛清理了桌子。,My wife has just cleared the table.
很抱歉，我们不能接受你的要求。,We are sorry we are unable to accept your request.
我有三张票。,I have three tickets.
我相当有自信我能做到这一点。,I'm fairly confident that I can do that.
我唱歌不太好。,I don't sing very well.
我们都期待看到你和你的家人。,We are all looking forward to seeing you and your family.
是谁给你说那个的呢？,Who said that to you?
她很喜欢动物。,She is fond of animals.
我能坐这里吗？,Can I sit here?
工程师告诉我们如何使用机器。,The engineer told us how to use the machine.
感谢你的到来，汤姆。,"Thanks for coming, Tom."
我不认为这是一个好的决定。,I don't think that it's a good decision.
我没有预定这个。,That isn't what I ordered.
汤姆很可能还在外面。,Tom is likely to still be outside.
我们在看着你。,We've been watching you.
我需要些建议。,I need advice.
我需要一本日英字典。,I need a Japanese-English dictionary.
我明天要去购物。,I'll go shopping tomorrow.
您喜欢橙汁吗？,Do you like orange juice?
人生良苦。,Life is very hard.
他挾著一個包裹。,He held a package under his arm.
她喜欢啤酒胜过葡萄酒。,She prefers beer to wine.
他星期日總是在家裡。,He's always at home on Sundays.
在這條河裡游泳很危險。,This river is dangerous to swim in.
我想看这部电影。,I want to watch this movie.
收音機廣播充斥著有關最近爆炸的新聞。,News of the recent blast is all over the radio.
他們將在下個月結婚。,They will get married next month.
她自己起床的。,She woke up on her own.
請告訴我你的名字。,Please tell me your name.
她穿著跟昨天相同的衣服。,She is wearing the same dress that she had on yesterday.
他什么也没说，这让她很生气。,"He said nothing, which made her angry."
他說的話不是真的。,What he said is not true.
汤姆在厨房里泡茶。,Tom is in the kitchen making tea.
他喝酒醉無法開車回家。,He is too drunk to drive home.
汤姆独自工作。,Tom works alone.
她把她的CD在書架上排成一排。,She put her CDs in a row on the shelf.
有效期到1997年3月31日为止。,"It's valid until March thirty-first, nineteen-ninety-seven."
他们吃很多米饭。,They eat a lot of rice.
